Index	Name	Name
WarrivAct1IntroGossip1	45\nGreetings, stranger. I'm not surprised \nto see your kind here. Many \nadventurers have traveled this way \nsince the recent troubles began.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all.  If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n	35\nこんにちは。君も冒険者だな。最近の\n騒ぎで、このへんは冒険者が増えた。\nトリストラムの街を襲った悲劇は聞い\nているだろう。恐怖の王ディアブロが\n再び地上に出たという噂もある。\n \nこれも噂だが、何週間か前に黒衣の放\n浪者がここを通ったそうだ。東へ向か\nい、ローグ族の修道院が守る山に入っ\nたとか。\n \n偶然かも知れないが、魔物の軍はその\n跡をたどったようだ。放浪者が通った\n後に、修道院の門は閉ざされ、怪物が\n付近を荒らし始めた。\n \n外が安全になって門が再び開かれるま\nでは、私と部下のキャラバンは動けな\nい。トリストラムを襲った影が我々を\n呑み込む前に、ラット・ゴーレインに\n向けて発ちたいのだが。その時、もし\n君が生きていれば、連れていってやろ\nう。\n \nアカラに会っておいた方がいい。この\nキャンプのリーダーだ。詳しい話が聞\nけるかもしれない。\n
WarrivAct1IntroPalGossip1	45\nWell met, noble Paladin. It's been a \nwhile since I've seen any of your kind in \nthe west. It would be an honor to aid \nyou in any way that I can.\n \nNo doubt you've heard about the \ntragedy that befell the town of \nTristram. Some say that Diablo, the \nLord of Terror, walks the world again.\n \nI don't know if I believe that, but a Dark \nWanderer did travel this route a few \nweeks ago. He was headed east to the \nmountain pass guarded by the Rogue \nMonastery.\n \nMaybe it's nothing, but evil seems to \nhave trailed in his wake. You see, \nshortly after the Wanderer went \nthrough, the Monastery's Gates to the \npass were closed and strange \ncreatures began ravaging the \ncountryside.\n \nUntil it's safer outside the camp and the \ngates are re-opened, I'll remain here \nwith my caravan. I hope to leave for \nLut Gholein before the shadow that fell \nover Tristram consumes us all.  If \nyou're still alive then, I'll take you \nalong.\n \nYou should talk to Akara, too. She \nseems to be the leader of this camp. \nMaybe she can tell you more.\n	35\nはじめまして、気高いパラディン。聖\n騎士に会うのは久しぶりだ。力になれ\nればいいのだが。\n \nトリストラムの街を襲った悲劇は聞い\nているだろう。恐怖の王ディアブロが\n再び地上に出たという噂もある。\n \nこれも噂だが、何週間か前に黒衣の放\n浪者がここを通ったそうだ。東へ向か\nい、ローグ族の修道院が守る山に入っ\nたとか。\n \n偶然かも知れないが、魔物の軍はその\n跡をたどったようだ。放浪者が通った\n後に、修道院の門は閉ざされ、怪物が\n付近を荒らし始めた。外が安全になっ\nて門が再び開かれるまでは、私と部下\nのキャラバンは動けない。トリストラ\nムを襲った影が我々を呑み込む前に、\nラット・ゴーレインに向けて発ちたい\nのだが。その時、もし君が生きていれ\nば、連れていってやろう。\n \nアカラに会っておいた方がいい。この\nキャンプのリーダーだ。詳しい話が聞\nけるかもしれない。\n
WarrivGossip1	51\nI've been leading my trade caravan \nacross the eastern deserts for more \nthan twenty years now. I've been \nattacked by bandits and outlaws more \ntimes than I can remember. But never \nwhen a Paladin accompanied me. \n \nIndeed, your Order has saved me from \nlosing a small fortune over the years. I \njust hope you can discover what's \ngoing on around here and get the \nGates to the East opened up!\n	40\n東の砂漠をキャラバンで渡るようにな\nって20年以上になる。山賊の襲撃も日\n常茶飯事だが、パラディンが一緒のと\nきに襲われた事はない。\n \nつまり君の教団には、恩があるわけだ。\n君が事件を解決して東への門を開いて\nくれることを祈っている。\n
WarrivGossip2	85\nCain seems to have great wisdom \nregarding the supernatural. I hope I \nnever live to be that wise...\n	81\nケインはかなり魔物に詳しいらしい。\nそんな知識を蓄えるほど長生きはした\nくないな。\n
WarrivGossip3	58\nAkara is the Rogues' High Priestess. She \nsells the few magic items in her \npossession and can even heal your \nwounds. She is very wise and will help \nyou if she can.\n	54\nアカラはローグ族の神官長だ。マジッ\nクアイテムを売っているし、傷を治す\n力もある。聡明な女性だから、力にな\nってくれるだろう。\n
WarrivGossip4	66\nThe fiery Kashya commands the Rogue \narchers in battle. I've only spoken to \nher a few times, though. I get the \nfeeling that she doesn't like outsiders \nvery much.\n	56\nカシャはローグ族の戦闘隊長だ。ほと\nんど話したことはないが、よそ者は好\nかないようだな。\n
WarrivGossip5	88\nCharsi seems to be a very sweet girl. \nShe's the smith around here and can \nhelp you by trading weapons and \narmor.\n	77\nチャルシはいい娘だよ。鍛治屋をして\nいるから、武器や防具のことなら相談\nするといい。\n
WarrivGossip6	55\nGheed is a wandering merchant of \nquestionable character who is traveling \nalong with my caravan to the East. He \nwill buy and sell most anything.\n \nHe's greedy, but his wares are beyond \nreproach. I would suggest keeping both \neyes open when you deal with him.\n	48\nギードは何でも扱う行商人で、私のキ\nャラバンと一緒に東に向かう途中だ。\nあまり信用はできない。\n \n品物は確かだが、欲が深くてな。もし\n取り引きするなら、気を許さないこと\nだ。\n
WarrivGossip7	71\nTo the east are lands of great \nmystery... and the Jewel City of the \nDesert, Lut Gholein.\n	65\n東にあるのは神秘の大地と、砂漠の宝\n石、ラット・ゴーレインの街。\n
WarrivGossip8	68\nI'll gladly take you eastward, if you can \ndrive the Evil from the Monastery.  \nThen, the Rogues may re-open the pass \nthrough the mountains.\n	64\n君が修道院の魔物を退治できたら、ロ\nーグ族も山への門を開く。その時は喜\nんで東へ連れていこう。\n
WarrivGossip9	70\nIt's easy to become lost in the \nwilderness on the way to the Citadel. \nAfter you have come to the Cairn \nStones, you must remember that the \npath continues through the caves.\n	57\n聖堂へ向かう途中の荒野は迷いやすい。\n岩の原の崖にある洞窟が地下通路にな\nっているから、そこを通った方がいい\nだろう。\n
AkaraIntroGossip1	35\nI am Akara, High Priestess of the \nSisterhood of the Sightless Eye. I \nwelcome you, traveler, to our camp, \nbut I'm afraid I can offer you but poor \nshelter within these rickety walls.\n \nYou see, our ancient Sisterhood has \nfallen under a strange curse. The \nmighty Citadel from which we have \nguarded the gates to the East for \ngenerations, has been corrupted by the \nevil Demoness, Andariel.\n \nI still can't believe it... but she turned \nmany of our sister Rogues against us \nand drove us from our ancestral home. \nNow the last defenders of the \nSisterhood are either dead or scattered \nthroughout the wilderness.\n \nI implore you, stranger. Please help us. \nFind a way to lift this terrible curse and \nwe will pledge our loyalty to you for all \ntime.\n	30\n私はアカラ、「見えざる眼」教団の神\n官長です。ようこそ、旅のお方。残念\nながら粗末な宿しか提供できませんが。\n \n \nご覧の通り、我らは忌まわしい呪いに\n苦しんでいます。代々、東への門を守\nる砦でもあった我らの修道院が、女魔\n神アンダリエルに占拠されたのです。\n \n \n信じがたい事ですが、シスターの多く\nが魔神に加勢し、我らを修道院より追\nいました。裏切らなかった者のほとん\nどは命を落とすか、荒野ではぐれまし\nた。\n \nお願いします。どうかお助けください。\nこの呪いをはらってくださるなら、永\n遠の感謝と協力を誓います。\n
