Index	Name
null	null
ModStr5d	最大スタミナ
Mauler	モーラー
StrSkill41	ダメージ
D2bnetHelp13	/whisper <*accountname>, /w <*accountname>
D2bnetHelp13b	/msg <*accountname>, /m <*accountname>
D2bnetHelp15	/squelch <*accountname>
D2bnetHelp15b	/ignore <*accountname>
D2bnetHelp16	/unsquelch <*accountname>
D2bnetHelp16b	/unignore <*accountname>
D2bnetHelp21	/ban <*accountname>
D2bnetHelp23	/designate <*accountname>
D2bnetHelp24	/kick <*accountname>
D2bnetHelp26	/whois <*accountname>, /where <*accountname>
D2bnetHelp26b	/whereis <*accountname>
D2bnetHelp32	/stats <*accountname> <programID>
x	HELL
x	NIGHTMARE
x	NORMAL
x	難易度選択
ModStr6e	スタミナ減少が低下
xhm	ウィングド・ヘルム
Hsarus' Defense	フサルの守り
strModEnhancedDamage	強化ダメージ\n
strModAllResistances	全耐性：+%d
strModAllSkillLevels	全スキルレベル：+%d
strModFireDamage	 +%d火炎ダメージ
strModFireDamageRange	%d-%dの火炎ダメージを追加
strModColdDamage	 +%d冷気ダメージ
strModColdDamageRange	%d-%dの冷気ダメージを追加
strModLightningDamage	 +%d稲妻ダメージ
strModLightningDamageRange	%d-%dの稲妻ダメージを追加
strModMagicDamage	 +%d魔法ダメージ
strModMagicDamageRange	%d-%dの魔法ダメージを追加
strModPoisonDamage	 +%dのポーションダメージが%d秒間持続
strModPoisonDamageRange	%d-%dの毒物ダメージを追加、%d秒間持続
strModMinDamage	 +%dダメージ
strModMinDamageRange	%d-%dのダメージを追加
strModEnhancedDamage	強化ダメージ
ModStre9j	火炎ダメージ低減：
ModStre9k	冷気ダメージ低減：
ModStre9l	稲妻ダメージ低減：
ModStre9m	毒物ダメージ低減：
ModStre9n	魔法ダメージ吸収
ModStre9o	火炎ダメージ吸収
ModStre9p	冷気ダメージ吸収
ModStre9q	稲妻ダメージ吸収
ModStre9r	毒物ダメージ吸収
of the Wraith	（レイス）
of Equilibrium	(均衡)
Valkyrie's	ワルキューレの
Maiden's	メイデンの
Blank	虚無の
strEskilllighttoattack	(あなたの攻撃に)
StrSklTabItem1	ジャベリンとスピアのスキル +%d
StrSklTabItem2	パッシブと魔術のスキル +%d
StrSklTabItem3	弓とクロスボウのスキル +%d
StrSklTabItem4	防御のオーラ +%d
StrSklTabItem5	攻撃のオーラ +%d
StrSklTabItem6	戦闘のスキル +%d
StrSklTabItem6	召喚呪文 +%d
StrSklTabItem7	毒物と骨の呪文 +%d
StrSklTabItem8	呪い +%d
StrSklTabItem10	高地のスキル +%d
StrSklTabItem11	部族のスキル +%d
StrSklTabItem12	部族の極意 +%d
