String Index	Text
WarrivAct1IntroGossip1	35\nこんにちは。君も冒険者だな。最近の\n騒ぎで、このへんは冒険者が増えた。\nトリストラムの街を襲った悲劇は聞い\nているだろう。恐怖の王ディアブロが\n再び地上に出たという噂もある。\n \nこれも噂だが、何週間か前に黒衣の放\n浪者がここを通ったそうだ。東へ向か\nい、ローグ族の修道院が守る山に入っ\nたとか。\n \n偶然かも知れないが、魔物の軍はその\n跡をたどったようだ。放浪者が通った\n後に、修道院の門は閉ざされ、怪物が\n付近を荒らし始めた。\n \n外が安全になって門が再び開かれるま\nでは、私と部下のキャラバンは動けな\nい。トリストラムを襲った影が我々を\n呑み込む前に、ラット・ゴーレインに\n向けて発ちたいのだが。その時、もし\n君が生きていれば、連れていってやろ\nう。\n \nアカラに会っておいた方がいい。この\nキャンプのリーダーだ。詳しい話が聞\nけるかもしれない。\n
WarrivAct1IntroPalGossip1	35\nはじめまして、気高いパラディン。聖\n騎士に会うのは久しぶりだ。力になれ\nればいいのだが。\n \nトリストラムの街を襲った悲劇は聞い\nているだろう。恐怖の王ディアブロが\n再び地上に出たという噂もある。\n \nこれも噂だが、何週間か前に黒衣の放\n浪者がここを通ったそうだ。東へ向か\nい、ローグ族の修道院が守る山に入っ\nたとか。\n \n偶然かも知れないが、魔物の軍はその\n跡をたどったようだ。放浪者が通った\n後に、修道院の門は閉ざされ、怪物が\n付近を荒らし始めた。外が安全になっ\nて門が再び開かれるまでは、私と部下\nのキャラバンは動けない。トリストラ\nムを襲った影が我々を呑み込む前に、\nラット・ゴーレインに向けて発ちたい\nのだが。その時、もし君が生きていれ\nば、連れていってやろう。\n \nアカラに会っておいた方がいい。この\nキャンプのリーダーだ。詳しい話が聞\nけるかもしれない。\n
WarrivGossip1	40\n東の砂漠をキャラバンで渡るようにな\nって20年以上になる。山賊の襲撃も日\n常茶飯事だが、パラディンが一緒のと\nきに襲われた事はない。\n \nつまり君の教団には、恩があるわけだ。\n君が事件を解決して東への門を開いて\nくれることを祈っている。\n
WarrivGossip2	81\nケインはかなり魔物に詳しいらしい。\nそんな知識を蓄えるほど長生きはした\nくないな。\n
WarrivGossip3	54\nアカラはローグ族の神官長だ。マジッ\nクアイテムを売っているし、傷を治す\n力もある。聡明な女性だから、力にな\nってくれるだろう。\n
WarrivGossip4	56\nカシャはローグ族の戦闘隊長だ。ほと\nんど話したことはないが、よそ者は好\nかないようだな。\n
WarrivGossip5	77\nチャルシはいい娘だよ。鍛治屋をして\nいるから、武器や防具のことなら相談\nするといい。\n
WarrivGossip6	48\nギードは何でも扱う行商人で、私のキ\nャラバンと一緒に東に向かう途中だ。\nあまり信用はできない。\n \n品物は確かだが、欲が深くてな。もし\n取り引きするなら、気を許さないこと\nだ。\n
WarrivGossip7	65\n東にあるのは神秘の大地と、砂漠の宝\n石、ラット・ゴーレインの街。\n
WarrivGossip8	64\n君が修道院の魔物を退治できたら、ロ\nーグ族も山への門を開く。その時は喜\nんで東へ連れていこう。\n
