Index	Name
ShrId18	ルーンのほこら
ShrId19	火のほこら
ShrId20	魔物のほこら
ShrId21	爆発のほこら
ShrId22	毒のほこら
ShrMsg0	何も感じない
ShrMsg1	気分がすっきりした
ShrMsg2	傷が癒えた
ShrMsg3	英気を養った
ShrMsg4	たいへん気分が良い 
ShrMsg5	エネルギーが満ちてきた
ShrMsg6	皮膚が固くなったようだ
ShrMsg7	戦意が高まった
ShrMsg8	もはや火炎など恐れない
ShrMsg9	もはや冷気など恐れない
ShrMsg10	もはや稲妻など恐れない
ShrMsg11	もはや毒物など恐れない
ShrMsg12	腕前が上がったように感じる
ShrMsg13	精神力がみるみる回復する
ShrMsg14	あらゆる物が軽く感じる
ShrMsg15	経験から多くを学べそうだ
ShrMsg16	ちょっと人が変わったようだ
ShrMsg17	帰る道が開く
ShrMsg18	みごとなルーンだ
ShrMsg19	灼熱の死が広がる
ShrMsg20	死神の代理人が迫る
ShrMsg21	炎の輪が広がる
ShrMsg22	死の輪が広がる
strqi1	ケルンの輪を起動する
strqi2	順序はこの通り
stsa1q3alert	ホラドリック・マリュスは修道院に返された
stsa1q4alert	イニファスの巻物は樹に戻された
stsa3q1alert	ディアブロの手下がラム・エセンの書を取り戻した
qstsa1qt	町の住民
qstsa1qt0	自己紹介
qstsa1q0	第１章プロローグ
qstsa1q1	邪悪の巣窟
qstsa1q2	教団の墓地
qstsa1q3	商売道具
qstsa1q4	ケイン探索
qstsa1q5	忘れられし塔
qstsa1q6	聖堂の殺戮者
strplaylast	スピーチ
newquestlog	新たなエントリー
qsts	クエストの状態
noactivequest	現在、クエストはない
qstsxxx	無効クエスト値
qstsnull	無効状態
qstsComplete	このクエストは終了した。
qstsother	このクエストは他のプレイヤーが既 に終了したため、本ゲームでは終了で きない。
qstsprevious	このクエストは、以前の冒険で終了 している。
qstsThankYouComeAgain	本ゲームではこのクエストを終了で きない。新たなゲームを作成せよ。
qstsThankYouComeAgainMulti	本ゲームではこのクエストを終了できない。新たにゲームを作るか、別のゲームに参加せよ。
qstsThankYouComeAgainSingle	本ゲームではこのクエストを終了できない。ケインは汝の助けを借りずに救出された。
Qstsyouarenot8	このクエストを終了するにはレベル８以上でなければならない。レベル８以上の状態で、新しいゲームを作成するか、別のゲームに参加して終了せよ。
qstsa1q3x	マリュスを持つ人物がゲームから 抜けた。
qstsa1q4x	ホラドリムの巻物を持つ人物がゲ ームから抜けた。
qstsa1q11	ローグ族のキャンプの外の荒野で、 邪悪の巣窟を探せ。
qstsa1q12	邪悪の巣窟のモンスターを一掃せよ
qstsa1q13	
qstsa1q14	モンスター残数：
qstsa1q140	モンスターは残り１匹
qstsa1q15	アカラに会い、報酬を受け取れ。
qstsa1q21	荒涼の平原の奥の、教団の墓地にい るブラッド・レイヴンを探せ。
qstsa1q22	ブラッド・レイヴンを殺せ。
qstsa1q23	カシャに会って報酬を受け取れ。
qstsa1q41	地下通路を通って暗き森に行き、 イニファスの樹を探し、巻物を取れ。
qstsa1q42	イニファスの巻物をアカラに届けよ。
qstsa1q43	岩の原の、ケルンの輪に行け。 イニファスの巻物に記された順番 で石に触れよ。そして赤いポー タルに入れ。ただし、危険は覚悟 せよ。
qstsa1q44	デッカード・ケインを探して救出せよ。
qstsa1q45	ケインはすでに救出され、ローグ族 のキャンプにいる。
qstsa1q46	ローグ族のキャンプの、ケインとアカラを訪ねよ。
qstsa1q46b	アカラと話して報酬を受け取れ。
qstsa1q51	暗き森の彼方、黒き湿地帯に行き、 塔の残骸を探せ。
qstsa1q51a	塔の廃墟の地下ダンジョンを探索せよ。
qstsa1q51b	塔の廃墟の地下ダンジョンを探索せよ。
qstsa1q52	邪悪なる伯爵夫人を討ち取れ。
qstsa1q31	修道院内部を探索し、兵舎に入って ホラドリック・マリュスを取れ。番人の「鍛冶師」には気をつけよ。
qstsa1q32	ホラドリック・マリュスをチャルシに返せ。
qstsa1q32b	チャルシがアイテムに魔法の力を吹き込んでくれる。
qstsa1q61	修道院のカタコンベの奥にある、アンダリエルの本拠を見つけよ。
qstsa1q62	アンダリエルを殺せ。
qstsa1q62b	ワリヴに会い、キャラバンとともに東へ向かえ。
qstsa1q63	ワリヴに会い、キャラバンとともに東へ向かえ。
KeyNone	なし
KeyLButton	マウス1
KeyRButton	マウス2
KeyCancel	キャンセル
KeyMButton	マウス3
Key4Button	マウス4
Key5Button	マウス5
KeyWheelUp	マウスホィールを上に回す
KeyWheelDown	マウスホィールを下に回す
KeyKana	カナ
KeyJunja	Junja
KeyFinal	最終
KeyKanji	漢字
KeyEscape	Esc
KeyConvert	変換
KeyNonConvert	無変換
KeyAccept	決定
KeyModeChange	モード変更
KeyLeft	左
KeyUp	上
KeyRight	右
KeyDown	下
KeySelect	選択
KeyExecute	実行
KeyLWin	左ウィンドウ
KeyRWin	右ウィンドウ
KeyApps	Appsメニュー
KeyNumLock	Num Lock
KeyBack	Backspace
KeyTab	Tab
KeyClear	Clear
KeyReturn	Enter
KeyShift	Shift
KeyControl	Ctrl
KeyMenu	Alt
KeyPause	Pause
KeyCapital	Caps Lock
KeySpace	Space
KeyPrior	Page Up
KeyNext	Page Down
KeyEnd	End
KeyHome	Home
KeyPrint	P - Tell Ken
KeySnapshot	Print Screen
KeyInsert	Insert
KeyDelete	Delete
KeyHelp	Help
KeyNumPad0	Num Pad 0
KeyNumPad1	Num Pad 1
KeyNumPad2	Num Pad 2
KeyNumPad3	Num Pad 3
KeyNumPad4	Num Pad 4
KeyNumPad5	Num Pad 5
KeyNumPad6	Num Pad 6
KeyNumPad7	Num Pad 7
KeyNumPad8	Num Pad 8
KeyNumPad9	Num Pad 9
KeyMultiply	Num Pad *
KeyAdd	Num Pad +
KeySeparator	Separator
KeySubtract	Num Pad -
KeyDecimal	Num Pad .
KeyDivide	Num Pad /
KeyF1	F1
KeyF2	F2
KeyF3	F3
KeyF4	F4
KeyF5	F5
KeyF6	F6
KeyF7	F7
KeyF8	F8
KeyF9	F9
KeyF10	F10
KeyF11	F11
KeyF12	F12
KeyF13	F13
KeyF14	F14
KeyF15	F15
KeyF16	F16
KeyF17	F17
KeyF18	F18
KeyF19	F19
KeyF20	F20
KeyF21	F21
KeyF22	F22
KeyF23	F23
KeyF24	F24
KeyScroll	Scroll Lock
KeySemicolon	;
KeyEqual	=
KeyComma	,
KeyMinus	-
KeyPeriod	.
KeySlash	/
KeyTilde	-
KeyLBracket	[
KeyBackslash	\
KeyRBracket	]
KeyApostrophe	'
ShorthandKeyMButton	m3
ShorthandKey4Button	m4
ShorthandKey5Button	m5
ShorthandKeyWheelUp	mwu
ShorthandKeyWheelDown	mwd
ShorthandKeyKana	kna
ShorthandKeyJunja	jun
ShorthandKeyFinal	fin
ShorthandKeyKanji	kji
ShorthandKeyEscape	esc
ShorthandKeyConvert	con
ShorthandKeyNonConvert	ncn
ShorthandKeyAccept	acc
ShorthandKeyModeChange	mdc
ShorthandKeyLeft	lft
ShorthandKeyRight	rgt
ShorthandKeyDown	Dwn
ShorthandKeySelect	Slt
ShorthandKeyExecute	exc
ShorthandKeyLeftWindows	lwn
ShorthandKeyRightWindows	rwn
ShorthandKeyApps	apm
ShorthandKeyNumLock	nml
ShorthandKeyBackspace	bks
ShorthandKeyClear	clr
ShorthandKeyEnter	ent
