Index	Name
Descblank	
DescSecretMsc	 FOREVER! This is not a hidden satanic message -Laz
DescSplits	Splits 
DescShark	 percent Chance to find Magic Items
DescScattered	Always Pierces\n(Initial Target Takes no Damage)
DescDmgDelay	Delay between Novas: 
DescUpToN	Fires up to 
DescNovas	 spike novas
DescUnlocks	Unlocks 
DescSeeCubeTxt	(see m2007_cube.rtf for a list of recipes)
DescLvlBas	 (Based on Character Level)
DescHolySor	 (Burn, You Witch!)
DescPainspiritAny	 (By Fire Be Purged!)
DescBloodAny	 (Dance with the Devil!)
DescHolyDru	 (For Worshipping Pagan Gods!)
DescHolyNec	 (Necromancy is Satanism!)
DescHolyBar	 (The Ancients are False Gods!)
DescUnholyPal	 (Warlocks Shall Burn)
DescHolyAsn	 (You Wretched Vampire!)
DescLegion	 archers
DescArrowsTotal	 arrows total
DescAxes	 axes
DescSuperFireballs	 BIG PHAT fireballs!!1!
DescSingleStars	 bloodstars per shot
DescBloodstarz	 bloodstars total
DescBolts	 bolts
DescDarts	 darts
DescAddsCrows	 extra missiles
DescGhosts	 ghosts
DescChickzorz	 fire streams
DescFireballs	 fireballs
DescHitPointz	 hit points
DescIceBeams	 ice beams
DescIceBeams2	 ice beams!!1!PEWPEWLAZOR!!!1!COPTER
DescKnives	 knives
DescAfterAKill	 life after each kill
DescLifePerSec	 life per second
DescAfterManaKill	 mana after each kill
DescMeteors	 meteors
DescMissilzor	 missiles
DescAlchemist	 percent of Alchemist Cube Recipes
DescEnchanter	 percent of Enchanter Cube Recipes
DescExplorer	 percent of Explorer Cube Recipes
DescPriest	 percent of Priest Cube Recipes
DescRunemaster	 percent of Runemaster Cube Recipes
DescWarlord	 percent of Warlord Cube Recipes
DescPctPass	 percent (Passive)
DescAffixPct	 percent effectiveness
DescLostHP	 percent of Life Lost
DescHPtoTarget	 percent of Maximum Life to Target
DescTotalHP	 percent of your Maximum Life
DescTotalMP	 percent of your Maximum Mana
DescFracHP	 percent of Life below Maximum
DescFracMP	 percent of Mana below Maximum
DescACFlash	 percent while Casting
DescDurDmg2	 per second)
DescRocks	 rocks
DescSec	 seconds
DescSkillPtsGained	Gives you 1 free skill point per Skill Level
DescSpikeVolley	 spikes per shot
DescSpikes	 spikes
DescExtraShadows	 shadows
DescTimes	 times
DescTimesBrutal	 times after Initial Strike
DescToAllAttr	 to All Attributes
DescLightPenalty	 to Light Radius
DescTowers	 towers
DescTwisters	 twisters
DescSpirits	 voodoo spirits
DescSporeSyn	+1 Extra Arrow on Last Split per level
DescAddedBoltSyn	+1 Extra Bolt per 2 Levels
DescNoSelfStack	(does not stack with itself)
DescAllExcept	(If Original Skill Timer > 10 seconds)
DescDurDmg1	(Lightning Damage: 
DescJoelZorz	(thanks to Joel for the help with this skill!)
DescSorryNoPM	(this skill is not affected by items)
DescVindicated	(When Cursed Target is Killed)
DescHexed	(When Struck by Cursed Enemy)
DescHealUsed	(When you Use a Healing Potion)
DescManaUsed	(When you Use a Mana Potion)
DescProfession	(you can have only one profession)
DescOnlyWhenStruck	Activate after being Struck in Combat
DescOnlyWhenArcS	Activate after using Arcane Strike
DescBoltsPerLevel	additional Bolts per Level
DescGhostsPerLevel	additional Ghosts per Level
DescKnivesPerLevel	+1 Additional Knife per 2 Levels
DescShadowsSyn	+1 additional Shadow per 4 Levels
DescTargetsPerLevel	additional Targets per Level
DescAdds	Adds 
DescLionBlind	Adds Blinds Attacker 
DescColdSyn	Adds Cold Damage (Diminishing Returns)
DescPhysSyn	Adds Damage (Diminishing Returns)
DescHexElem	Adds Damage: 
DescVindicateAdddmg	Adds Damage: 
DescAuraShadows	Adds Elemental Damages to Aura: 
DescVanquishAddelem	Adds Elemental Damages: 
DescFireSyn	Adds Fire Damage (Diminishing Returns)
DescSuntFreeze	Adds Freeze Attacker 
DescLtngSyn	Adds Lightning Damage (Diminishing Returns)
DescMagSyn	Adds Magic Damage (Diminishing Returns)
DescDarkPowerRed	Adds Physical Damage Reduction: 
DescPoisSyn	Adds Poison Damage (Diminishing Returns)
DescBloodlustPhys	Adds to Damage: 
DescMotwPhys	Adds to Damage: 
DescRavenDur	Adds to Duration: 
DescBloodlustElem	Adds to Elemental Damages: 
DescMotwElem	Adds to Elemental Damages: 
DescManacoilSyn	Adds to Feedback Damage: 
DescWrathSynergy	Adds to Fire Damage: 
DescFreezeBonus	Adds to Freeze Duration: 
DescSamSyn	Adds to Life Healed per Corpse: 
DescMissilesSynergy	Adds to Magic Damage: 
DescRangeBonus	Adds to Range: 
DescFeralStrDex	Adds to Strength and Dexterity Bonuses: 
DescHolyArmorMove	Adds Velocity: 
DescFeralEnrVit	Adds Vitality and Energy Bonuses: 
DescAllSkills	All Learnable Spells
DescAllLevels	All Skill Levels: 
DescSpellDmg	All Spell Damages: 
DescMortalTrigger	Also enables you to use 'when struck' skills for free!
DescBetaPierce	Always Pierces
DescElemAuraSyn	Aura Bonus to Elemental Damage per Level
DescElemAura	Demon Blood Aura Increases Elemental Damages: 
DescLifeAura	Aura Increases Max Life: 
DescDemonBlood	Aura Increases Max Life and Heals
DescDFSyn	Base Damage per Level
DescContest	Based on the Winner of the Phrozen Keep Skill Contest
DescLionSkBlind	Blinds Attacker 
DescBlizzDur	Blizzard Duration: 
DescToBlock	Blocking Bonus: 
DescBoltLength	Bolt Length: 
DescBonusDmg	Bonus Damage: 
DescAddsGethit	Bonus Effect Duration: 
DescAllAttr	Bonus to All Attributes: 
DescAttrateSyn	Bonus to Attack Speed per Level
DescDmgColdSyn	Bonus to Cold Damage per Level
DescDmgLustSyn	Damage: 
