Index	Name
A4Q2ExpansionSuccessTyrael	40\nPraise be to the Light! You have \naccomplished the impossible! \nDiablo and Mephisto have been\nbanished back into the Black Abyss\nthat spawned them, and the corrupted\nSoulstones are no more.\n\nHowever, while you were fighting here,\nBaal remained behind in the mortal\nrealm, building an army of hellish\nminions. Now, Baal's army is searching\nfor the Worldstone, the ancient source\nof all the Soulstones and their power,\nwhile leaving behind a wake of\ndestruction. They have forged deeply\ninto the Barbarian homelands, heading\ndirectly for the summit of Mount\nArreat!\n\nBaal knows, mortal hero! That is the\nvery site of the blessed Worldstone!\n\nNow, enter the portal I have opened for\nyou. It will take you to the Barbarian\ncity of Harrogath, the last bastion of\nOrder on the slopes of Arreat.\n
A4Q2ExpansionSuccessCain	40\nI knew there was great potential in you, \nmy friend. You've done a fantastic job.\n \nThough my ancestors often struggled \nagainst the Three Evils and their \nminions, I've always lived a shut-in, \nscholarly life. I'm glad that my wisdom \naided you.\n \nNow, I wish to leave this place. Though \nHeaven's Gates are a marvel to behold, \nI hope I won't have to see them again \nfor many, many years.\n \nPlease talk to Tyrael about leaving this \nplace now!\n
AncientsAct5IntroGossip1	35\nWe are the spirits of the Nephalem, the \nAncient Ones. We have been chosen to \nguard sacred Mount Arreat, wherein \nthe Worldstone rests. Few are worthy \nto stand in its presence; fewer still can \ncomprehend its true purpose.\n \nBefore you enter, you must defeat us.\n
CainAct5IntroGossip1	39\nI am amazed to find this place so \nuntouched. Everything else in the path \nof Baal the Lord of Destruction lies in \nruin. \n \nThese Barbarians must indeed be the \nlegendary guardians of Mount Arreat. \nThey are a proud, hardy people. Don't \nexpect to be greeted warmly -- \nstrangers here rarely are.\n \nPerhaps I can gain their trust. I'll spend \nsome time with the townsfolk and try \nto understand them better. I'll let you \nknow what I discover.\n
CainAct5Gossip1	52\nWith hellspawn, size is no measure of \ntheir threat. Demons half the size of \nmen can kill with a gesture, while \nhellish pack animals trample any who \nstand in their way.\n
CainAct5Gossip2	55\nThough these Barbarians are known \nthroughout the kingdoms as ferocious \nfighters, they are also capable of great \ncompassion.\n \nThey have trained throughout history \nfor a battle their legends foretell will \ndecide the fate of the world.\n
CainAct5Gossip3	55\nThe angel Tyrael has watched over the \nguardians of Arreat throughout \nhistory. I do not believe that Baal and \nTyrael have come to fight over a paltry \nfew souls.\n \nThey are here to settle a conflict as old \nas time itself.\n
CainAct5Gossip4	44\nDuring my time with the Horadrim, we \noften debated the nature of Mount \nArreat.\n \nWe knew that the Barbarian clans \nzealously guarded the mountain as \ntheir sacred duty. However, many \ndismissed their zeal as simple \nsuperstition...combined with an inborn \nhostility toward outsiders.\n \nThose Horadrim who trekked up Arreat \nwere never heard from again...Still, I \ndo not believe they died at the hands of \nBarbarians.\n
CainAct5Gossip5	41\nAll users of the magical arts know of \nMount Arreat, but few understand its \ntrue nature. It is the nexus of an \nunfathomable magic.\n \nIt bodes ill that the Lord of Destruction \nraces to its summit with such purpose. \nI fear for the whole world should Baal \ngain what he seeks.\n
CainAct5Gossip6	59\nI have spent decades trying to \nunderstand the forces at work in this \nworld. But in the face of all that is \ntranspiring, I realize how meager my \nknowledge is.\n \nI will be of assistance where I can, my \nfriend.\n
