Index	JPN	ENG
Cutthroat1	バータックス・チョプチョプ	Bartuc's Cut-Throat
ModStr5d	最大スタミナ	Maximum Stamina
Mauler	モーラー	Mauler
StrSkill41	ダメージ	damage
D2bnetHelp13	/whisper <*accountname>, /w <*accountname>	/whisper <*accountname>, /w <*accountname>
D2bnetHelp13b	/msg <*accountname>, /m <*accountname>	/msg <*accountname>, /m <*accountname>
D2bnetHelp15	/squelch <*accountname>	/squelch <*accountname>
D2bnetHelp15b	/ignore <*accountname>	/ignore <*accountname>
D2bnetHelp16	/unsquelch <*accountname>	/unsquelch <*accountname>
D2bnetHelp16b	/unignore <*accountname>	/unignore <*accountname>
D2bnetHelp21	/ban <*accountname>	/ban <*accountname>
D2bnetHelp23	/designate <*accountname>	/designate <*accountname>
D2bnetHelp24	/kick <*accountname>	/kick <*accountname>
D2bnetHelp26	/whois <*accountname>, /where <*accountname>	/whois <*accountname>, /where <*accountname>
D2bnetHelp26b	/whereis <*accountname>	/whereis <*accountname>
D2bnetHelp32	/stats <*accountname> <programID>	/stats <*accountname> <programID>
x	DESTRUCTION	DESTRUCTION
x	TERROR	TERROR
x	HATRED	HATRED
x	難易度選択	SELECT DIFFICULTY
ModStr6e	スタミナ減少が低下	Slower Stamina Drain
xhm	ウィングド・ヘルム	Winged Helm
Hsarus' Defense	フサルの守り	Hsarus' Defense
strModEnhancedDamage	強化ダメージ\n	Enhanced Damage\n
strModAllResistances	全耐性：+%d	All Resistances +%d
strModAllSkillLevels	全スキルレベル：+%d	+%d to All Skill Levels
strModFireDamage	 +%d火炎ダメージ	+%d fire damage
strModFireDamageRange	%d-%dの火炎ダメージを追加	Adds %d-%d fire damage
strModColdDamage	 +%d冷気ダメージ	+%d cold damage
strModColdDamageRange	%d-%dの冷気ダメージを追加	Adds %d-%d cold damage
strModLightningDamage	 +%d稲妻ダメージ	+%d lightning damage
strModLightningDamageRange	%d-%dの稲妻ダメージを追加	Adds %d-%d lightning damage
strModMagicDamage	 +%d魔法ダメージ	+%d magic damage
strModMagicDamageRange	%d-%dの魔法ダメージを追加	Adds %d-%d magic damage
strModPoisonDamage	 +%dのポーションダメージが%d秒間持続	+%d poison damage over %d seconds
strModPoisonDamageRange	%d-%dの毒物ダメージを追加、%d秒間持続	Adds %d-%d poison damage over %d seconds
strModMinDamage	 +%dダメージ	+%d damage
strModMinDamageRange	%d-%dのダメージを追加	Adds %d-%d damage
strModEnhancedDamage	強化ダメージ	Enhanced damage
ModStre9j	火炎ダメージ低減：	Fire Damage Reduced by
ModStre9k	冷気ダメージ低減：	Cold Damage Reduced by
ModStre9l	稲妻ダメージ低減：	Lightning Damage Reduced by
ModStre9m	毒物ダメージ低減：	Poison Damage Reduced by
ModStre9n	魔法ダメージ吸収	Absorbs Magic Damage
ModStre9o	火炎ダメージ吸収	Absorbs Fire Damage
ModStre9p	冷気ダメージ吸収	Absorbs Cold Damage
ModStre9q	稲妻ダメージ吸収	Absorbs Lightning Damage
ModStre9r	毒物ダメージ吸収	Absorbs Poison Damage
of the Wraith	（レイス）	of the Wraith
of Equilibrium	(均衡)	of Equilibrium
Valkyrie's	ワルキューレの	Valkyrie's
Maiden's	メイデンの	Maiden's
Blank	虚無の	Void
strEskilllighttoattack	(あなたの攻撃に)	to your attack
StrSklTabItem1	ジャベリンとスピアのスキル +%d	+%d to Javelin and Spear Skills
StrSklTabItem2	パッシブと魔術のスキル +%d	+%d to Passive and Magic Skills
StrSklTabItem3	弓とクロスボウのスキル +%d	+%d to Bow and Crossbow Skills
StrSklTabItem4	防御のオーラ +%d	+%d to Defensive Auras
StrSklTabItem5	攻撃のオーラ +%d	+%d to Offensive Auras
StrSklTabItem6	戦闘のスキル +%d	+%d to Combat Skills
StrSklTabItem6	召喚呪文 +%d	+%d to Summoning Skills
StrSklTabItem7	毒物と骨の呪文 +%d	+%d to Poison and Bone Skills
StrSklTabItem8	呪い +%d	+%d to Curses
StrSklTabItem10	雄叫び +%d	+%d to Warcries
