String Index	JPN	Name
A4Q2ExpansionSuccessTyrael	40 \n光輝を称えよ！　そなたは不可能を可 \n能にしたのだ！ \n \nディアブロとメフィストは打ち砕かれ、 \nそもそもの故郷である黒き深淵に還っ \nた。汚れしソウルストーンももはやな \nい。 \n \nしかれども、そなたがここで戦う間に \nも、バールは地上界に残り地獄の軍勢 \nを再編成しておった。そして暗黒の軍 \n団はすでに再起を果たし、あらゆるソ \nウルストーンの力の源である秘宝「ワー \nルドストーン」を捜して進軍しておる。 \n彼らは各地に破壊の傷跡を刻んだ末、 \n今はバーバリアン族の故郷、聖地アリー \nト山の頂上を目指しておるところだ。 \n \nよいか勇者よ、バールはもはや知って \nおるぞ。アリート山こそ、ワールドス \nトーンのありかなのだ！ \n \n急いで、我の開いたポータルに入るが \nよい。これはバーバリアンの街ハロガ \nスにつながっておる。いまや、アリー \nト山腹のかの街こそが、破壊の軍勢を \n防ぐ最後の砦なのだ！ \n	40\nPraise be to the Light! You have \naccomplished the impossible! \nDiablo and Mephisto have been\nbanished back into the Black Abyss\nthat spawned them, and the corrupted\nSoulstones are no more.\n\nHowever, while you were fighting here,\nBaal remained behind in the mortal\nrealm, building an army of hellish\nminions. Now, Baal's army is searching\nfor the Worldstone, the ancient source\nof all the Soulstones and their power,\nwhile leaving behind a wake of\ndestruction. They have forged deeply\ninto the Barbarian homelands, heading\ndirectly for the summit of Mount\nArreat!\n\nBaal knows, mortal hero! That is the\nvery site of the blessed Worldstone!\n\nNow, enter the portal I have opened for\nyou. It will take you to the Barbarian\ncity of Harrogath, the last bastion of\nOrder on the slopes of Arreat.\n
A4Q2ExpansionSuccessCain	40 \n君ならやってくれると思っておったよ。 \nまったく信じがたい偉業だ。 \n \n私はホラドリムの先人と違い、研究の \nみに没頭してきたため戦場には立てな \nかった。しかし、その知識で君という \n勇者を補佐できたなら本望だ。 \n \nさあ勇者よ、この地を去ろう。この天 \n界軍の砦は驚異ではあるが、しかしこ \nの先ずっと、ここを訪れる必要がない \nことを切に願うよ。 \n \n去る前に、ティラエルに挨拶をしてき \nたまえ。 \n	40\nI knew there was great potential in you, \nmy friend. You've done a fantastic job.\n \nThough my ancestors often struggled \nagainst the Three Evils and their \nminions, I've always lived a shut-in, \nscholarly life. I'm glad that my wisdom \naided you.\n \nNow, I wish to leave this place. Though \nHeaven's Gates are a marvel to behold, \nI hope I won't have to see them again \nfor many, many years.\n \nPlease talk to Tyrael about leaving this \nplace now!\n
AncientsAct5IntroGossip1	33 \n我らはネファレムの魂、古き民。この \n聖なるアリートの山嶺にて、ワールド \nストーンを守る者なり。世に勇者と呼 \nばるる者は多かれども、真にその名に \n値する武勇を持つ者は少なし。その重 \n責を担うに足る者は、さらにまれなり。 \n \nこの地に立ち入らんと欲すれば、我ら \nを倒し力を示せ。 \n	35\nWe are the spirits of the Nephalem, the \nAncient Ones. We have been chosen to \nguard sacred Mount Arreat, wherein \nthe Worldstone rests. Few are worthy \nto stand in its presence; fewer still can \ncomprehend its true purpose.\n \nBefore you enter, you must defeat us.\n
CainAct5IntroGossip1	38 \nこの地は、よく持ちこたえているな。 \n破壊の魔王バールの襲撃を受けた他の \n国々は、もっと完膚なきまでに蹂躙さ \nれたというのに。 \n \nさすがにバーバリアン族、アリート山 \nを守る伝説の戦士と言われるのもうな \nずける。ただし彼らは、誇り高く武骨 \nな民族だ。よそ者には慣れておらんだ \nろうから、温かい歓迎は期待できんな。 \n \nむしろ私の方が、彼らの信用を得られ \nるかもしれん。なるべく街の人々と交 \n流を結んで話を聞きだしてみるから、 \n何かわかったら君に伝えよう。 \n	39\nI am amazed to find this place so \nuntouched. Everything else in the path \nof Baal the Lord of Destruction lies in \nruin. \n \nThese Barbarians must indeed be the \nlegendary guardians of Mount Arreat. \nThey are a proud, hardy people. Don't \nexpect to be greeted warmly -- \nstrangers here rarely are.\n \nPerhaps I can gain their trust. I'll spend \nsome time with the townsfolk and try \nto understand them better. I'll let you \nknow what I discover.\n
CainAct5Gossip1	48 \n今さらのようだが、地獄の魔獣と戦う \n際には体の大きさに惑わされるな。人 \nの半分ほどの背丈でも恐るべき力を秘 \nめていることがあるし、子犬ほどの大 \nきさでも虎のように獰猛なものだぞ。 \n	52\nWith hellspawn, size is no measure of \ntheir threat. Demons half the size of \nmen can kill with a gesture, while \nhellish pack animals trample any who \nstand in their way.\n
CainAct5Gossip2	48 \nバーバリアン族は勇猛な戦士として世 \nにあまねく知られているが、実は情け \n深い博愛の民族でもある。なにしろ彼 \nらは、異民族を含んだ世界全体を守る \nべく、予言に従って有史以来ずっとこ \nの荒野に住まい、厳しい修練を積んで \n備えを固めてきたのだからな。 \n	55\nThough these Barbarians are known \nthroughout the kingdoms as ferocious \nfighters, they are also capable of great \ncompassion.\n \nThey have trained throughout history \nfor a battle their legends foretell will \ndecide the fate of the world.\n
CainAct5Gossip3	45 \n太古の昔から、アリートの守り手たち \nは天使ティラエルの降臨をたびたび目 \n撃しておるようだ。ティラエルとバー \nルは、ちっぽけな人間の魂などを巡っ \nて争っているのではあるまい。時の始 \nめより、相容れぬ存在なのであろうな。 \n	55\nThe angel Tyrael has watched over the \nguardians of Arreat throughout \nhistory. I do not believe that Baal and \nTyrael have come to fight over a paltry \nfew souls.\n \nThey are here to settle a conflict as old \nas time itself.\n
CainAct5Gossip4	48 \nホラドリムの学府で研究にいそしんで \nいた頃には、よく仲間たちとアリート \n山の意味について議論したものだ。 \n \nバーバリアンの諸部族が、我が身を省 \nみずにこの聖なる山を守ることは、誰 \nでも知っておる。しかし多くの者は、 \nその動機を単なる迷信と見なしがちだ。 \nバーバリアンは生来野蛮で排他的ゆえ、 \n伝説にかこつけて争いを起こしたがる \nのだと言ってな。 \n \nたしかに、アリート山の探検に向かっ \nたホラドリムは、残らず消息を絶った。 \nしかし私は、彼らがバーバリアンに殺 \nされたとは思っておらん。 \n	44\nDuring my time with the Horadrim, we \noften debated the nature of Mount \nArreat.\n \nWe knew that the Barbarian clans \nzealously guarded the mountain as \ntheir sacred duty. However, many \ndismissed their zeal as simple \nsuperstition...combined with an inborn \nhostility toward outsiders.\n \nThose Horadrim who trekked up Arreat \nwere never heard from again...Still, I \ndo not believe they died at the hands of \nBarbarians.\n
CainAct5Gossip5	40 \nかりにも魔術を修める身なら、アリー \nト山の名を知らぬ者はおらんが、しか \nしその真価を知る者は多くはない。こ \nの地は、深遠なる魔力の結節点なのだ。 \n \nそしていま、破壊の王がその魔力の源 \nを求めて山頂を目指しておるというわ \nけだ。彼がもし目的を果たせばどうな \nるか、考えたくもないな。 \n	41\nAll users of the magical arts know of \nMount Arreat, but few understand its \ntrue nature. It is the nexus of an \nunfathomable magic.\n \nIt bodes ill that the Lord of Destruction \nraces to its summit with such purpose. \nI fear for the whole world should Baal \ngain what he seeks.\n
CainAct5Gossip6	48 \n私はいままで何十年もの歳月を費やし \nて、世界の真理を究めようと努めてき \nた。しかしいざ動乱が起きてみると、 \n自分の知識がいかに限られたものであっ \nたかを痛感したよ。私にできることが \nあれば、何でも言ってくれ。 \n	59\nI have spent decades trying to \nunderstand the forces at work in this \nworld. But in the face of all that is \ntranspiring, I realize how meager my \nknowledge is.\n \nI will be of assistance where I can, my \nfriend.\n
