Spike Generator	スパイク・ジェネレイター
Charged Bolt Sentry	チャージド・ボルト・セントリー
Lightning Sentry	ライトニング・セントリー
Blade Sentinel	ブレイド・センチネル
Druid Spirit	ドルイド・スピリット
Dire Wolf	ダイア・ウルフ
Spirit Wolf	スピリット・ウルフ
Grizzly	グリズリー
Mage Eater	メイジ・イーター
Mana Mauler	マナ・モーラー
Spell Sucker	スペル・サッカー
Plague Poppy	プラーグ・ポピー
Cycle of Life	サイクル・オヴ・ライフ
Vine Creature	ヴァイン・クリーチャー
Siege Door	シージ・ドア
Seige Tower	攻城塔
Blood Wing Nest	ブラッド・ウィングの巣
Blood Hook Nest	ブラッドフックの巣
Feeder Nest	フィーダーの巣
Sucker Nest	サッカーの巣
Stygian Watcher Head	スティジアン・ウォッチャーの触手
River Stalker Head	リバー・ストーカーの触手
Water Watcher Head	ウォーターウォッチャーの触手
Blood Hawk Nest	ブラッドホークの巣
Flying Scimitar	フライング・シミター
Cloud Stalker Nest	クラウドストーカーの巣
Black Raptor Nest	ブラックラプターの巣
Foul Crow Nest	ファウルクロウの巣
Rot Walker	ロット・ウォーカー
Reanimated Horde	リアニメイテッド・ホード
Prowling Dead	プラウリング・デッド
Unholy Corpse	アンホーリー・コープス
Defiled Warrior	ディファイルド・ウォリアー
Siege Beast	シージ・ビースト
Crush Beast	クラッシュ・ビースト
Blood Bringer	ブラッド・ブリンガー
Gore Bearer	ゴア・ベアラー
Demon Steed	デモン・スティード
Wailing Spirit	ウェイリング・スピリット
Life Seeker	ライフ・シーカー
Life Stealer	ライフ・スティーラー
Bound Spirit	バウンド・スピリット
Banished Soul	バニッシュト・ソウル
Greater Hell Spawn	グレーター・ヘル・スポーン
Greater Ice Spawn	グレーター・アイス・スポーン
Fanatic Enslaved	ファナティック・エンスレイヴド
Berserker Slayer	バーサーカー・スレイヤー
Consumed Fire Boar	コンシュームド・ファイア・ボア
Consumed Ice Boar	コンシュームド・アイス・ボア
Frenzied Hell Spawn	フレンジード・ヘル・スポーン
Frenzied Ice Spawn	フレンジード・アイス・スポーン
Insane Hell Spawn	インセイン・ヘル・スポーン
Insane Ice Spawn	インセイン・アイス・スポーン
Vile Temptress	ヴァイル・テンプトレス
Stygian Harlot	スティジアン・ハーロット
Hell Temptress	ヘル・テンプトレス
Blood Temptress	ブラッド・テンプトレス
Vile Witch	ヴァイル・ウィッチ
Stygian Fury	スティジアン・フューリー
Blood Witch	ブラッド・ウィッチ
Hell Witch	ヘル・ウィッチ
Overseer	オーヴァーシーアー
Overlord	オーヴァーロード
Blood Boss	ブラッド・ボス
Hell Whip	ヘル・ウィップ
Demon Portal	デモン・ポータル
Demon Imp	デモン・インプ
Demon Rascal	デモン・ラスカル
Demon Gremlin	デモン・グレムリン
Demon Trickster	デモン・トリックスター
Demon Sprite	デモン・スプライト
Frozen Creeper	フローズン・クリーパー
Frozen Terror	フローズン・テラー
Frozen Scourge	フローズン・スカージ
Frozen Horror	フローズン・ホラー
Frozen Scorch	フローズン・スコーチ
Moon Lord	ムーン・ロード
Night Lord	ナイト・ロード
Blood Lord	ブラッド・ロード
Hell Lord	ヘル・ロード
Death Lord	デス・ロード
Catapult	投石機
Barricaded Door	バリケードでふさがれたドア
Barricaded Tower	バリケードでふさがれた塔
Shenk the Overseer	シェンク・ジ・オーヴァーシーアー
Evil Demon Hut	イーヴル・デモン・ハット
Death Mauler	デス・モーラー
Death Brawler	デス・ブローラー
Death Slasher	デス・スラッシャー
Death Berserker	デス・バーサーカー
Death Brigadier	デス・ブリガディア
Snow Drifter	スノー・ドリフター
Abominable	アボミナブル
Chilled Froth	チルド・フロス
Frozen Abyss	フローズン・アビス
Putrid Defiler	ピュートリッド・ディファイラー
Wretched Defiler	レッチト・ディファイラー
Fetid Defiler	フェティッド・ディファイラー
Rancid Defiler	ランシッド・ディファイラー
Rank Defiler	ランク・ディファイラー
Pain Worm	ペイン・ワーム
Torment Worm	トーメント・ワーム
Agony Worm	アゴニー・ワーム
Menace Worm	メナス・ワーム
Anguish Worm	アンギッシュ・ワーム
Warped Fallen Wolfrider	ウォープト・フォールン・ウルフライダー
Darkone Wolfrider	ダークワン・ウルフライダー
Devilkin Wolfrider	デヴィルキン・ウルフライダー
Carver Wolfrider	カーヴァー・ウルフライダー
Fallen Wolfrider	フォールン・ウルフライダー
Oak Sage	オーク・セイジ
Heart of Wolverine	ハート・オヴ・ウルヴァリン
Spirit of Barbs	スピリット・オヴ・バーブズ
Shadow Warrior	シャドウ・ウォリアー
Death Sentry	デス・セントリー
Inferno Sentry	インフェルノ・セントリー
Shadow Master	シャドウ・マスター
Wake of Fire	ウェイク・オヴ・ファイア
Barbarian Captive	バーバリアンの捕虜
Blaze Ripper	ブレイズ・リッパー
Magma Torquer	マグマ・トルカー
Sharptooth Slayer	シャープトゥース・スレイヤー
Vinvear Molech	ヴィンヴェイア・モレック
Hell's Belle	ヘルズ・ベル
Snapchip Shatter	スナップチップ・シャター
Pindleskin	ピンドルスキン
Thresh Socket	スレッシュ・ソケット
Eyeback the Unleashed	アイバック・ジ・アンリーシュト
Eldritch the Rectifier	エルドリッチ・ザ・リクティファイアー
Dac Farren	ダック・ファレン
Bonesaw Breaker	ボーンソウ・ブレイカー
Axe Dweller	アックス・ドゥエラー
Frozenstein	フローズンシュタイン
The Cow King	牛の王
Grand Vizier of Chaos	混沌の宰相
Lord De Seis	セイスの王
Infector of Souls	魂を汚す者
Riftwraith the Cannibal	人喰いリフトレイス
Taintbreeder	テイントブリーダー
The Tormentor	拷問者
