Eng	JPN
Quilted Armor	キルトのアーマー
Hard Leather Armor	ハードレザー・アーマー
Leather Armor	レザーアーマー
Studded Leather	鋲つき革アーマー
Ring Mail	リングメイル
Scale Mail	スケールメイル
Chain Mail	チェーンメイル
Breast Plate	ブレストプレート
Splint Mail	スプリントメイル
Field Platge	フィールドプレート
Gothic Plate	ゴシックプレート
Full Plate Mail	フルプレートメイル
Ancient Armor	古代のアーマー
Small Shield	スモールシールド
Large Shield	ラージシールド
Kite Shield	カイトシールド
Tower Shield	タワーシールド
Gothic Shield	ゴシックシールド
Leather Gloves	レザーグローブ
Heavy Gloves	ヘヴィグローブ
Chain Gloves	チェーングローブ
Light Gauntlets	ライトガントレット
Heavy Boots	ヘヴィブーツ
Chain Boots	チェーンブーツ
Light Plated Boots	ライトプレートブーツ
Heavy Belt	ヘヴィベルト
Plated Belt	プレートベルト
Bone Helm	ボーンヘルム
Bone Shield	ボーンシールド
Spiked Shield	スパイクシールド
Hand Axe	ハンドアックス
Double Axe	ダブルアックス
Military Pick	ミリタリー・ピック
War Axe	ウォーアックス
Large Axe	ラージアックス
Broad Axe	ブロードアックス
Battle Axe	バトルアックス
Great Axe	グレートアックス
Giant Axe	ジャイアントアックス
Yew Wand	木のワンド
Bone Wand	ボーンワンド
Grim Wand	グリムワンド
Grand Scepter	グランドセプター
War Scepter	ウォーセプター
Spiked Club	スパイク付きクラブ
Morning Star	モーニングスター
War Hammer	ウォーハンマー
Great Maul	グレートモール
Short Sword	ショートソード
Scimitar	シミター
Sabre	サーベル
Saber	サーベル
Falchion	フォルシオン
Crystal Sword	クリスタルソード
Broad Sword	ブロードソード
Long Sword	ロングソード
War Sword	ウォーソード
Two-Handed Sword	両手用ソード
Claymore	クレイモア
Giant Sword	ジャイアントソード
Bastard Sword	バスタードソード
Flamberge	フランベルジュ
Great Sword	グレートソード
Throwing Knife	投げナイフ
Throwing Axe	投げアックス
Balanced Knife	バランスナイフ
Balanced Axe	バランスアックス
Short Spear	ショートスピア
Throwing Spear	投げスピア
War Scythe	戦争の大鎌
Short Staff	ショート・スタッフ
Long Staff	ロング・スタッフ
Gnarled Staff	節くれだったスタッフ
Battle Staff	バトル・スタッフ
War Staff	ウォー・スタッフ
Short Bow	ショートボウ
Hunter's Bow	ハンターズ・ボウ
Long Bow	ロングボウ
Composite Bow	複合ボウ
Short Battle Bow	ショート・バトルボウ
Long Battle Bow	ロング・バトルボウ
Short War Bow	ショート・ウォーボウ
Long War Bow	ロング・ウォーボウ
Light Crossbow	ライト・クロスボウ
Heavy Crossbow	ヘヴィ・クロスボウ
Repeating Crossbow	連射クロスボウ
Barbed Shield	有刺シールド
Grim Shield	グリムシールド
Grim Helm	グリムヘルム
War Belt	ウォーベルト
Battle Belt	バトルベルト
Mesh Belt	メッシュベルト
Sharkskin Belt	鮫皮ベルト
Demonhide Sash	魔獣の皮のサッシュ
War Boots	ウォーブーツ
Battle Boots	バトルブーツ
Mesh Boots	メッシュブーツ
Sharkskin Boots	鮫皮ブーツ
Demonhide Boots	魔獣の皮のブーツ
War Gaunlets	ウォー・ガントレット
Battle Gauntlets	バトル・ガントレット
Heavy Bracers	重い弓籠手
Sharkskin Gloves	鮫皮グローブ
Demonhide Gloves	魔獣の皮のグローブ
Ancient Shield	古代のシールド
Pavise	パバイス
Dragon Shield	ドラゴンシールド
Scutum	スキュータム
Round Shield	ラウンドシールド
Defender	ディフェンダー
Mage Plate	魔道師のプレート
Ornate Plate	装飾のプレート
Chaos Armor	混沌のアーマー
Embossed Plate	エンボスのプレート
Sharktooth Armor	鮫の歯のアーマー
Templar Coat	聖堂騎士のコート
Russet Armor	ラセットアーマー
Cuirass	クゥイラス
Mesh Armor	メッシュアーマー
Tigulated Mail	ティギュレート・メイル
Linked Mail	リンクト・メイル
Trellised Armor	格子のアーマー
Demonhide Armor	魔獣の皮のアーマー
Serpentskin Armor	蛇皮のアーマー
Ghost Armor	ゴーストアーマー
Death Mask	デスマスク
Grand Crown	大いなる冠
Winged helm	ウィングヘルム
Basinet	バシネット
Casque	カスク
Sallet	サレット
War Hat	ウォー・ハット
Chu-Ko-Nu	チュコヌ
Ballista	バリスタ
Siege Crossbow	攻城クロスボウ
Arbalest	アルバレスト
Gothic Bow	ゴシック・ボウ
Rune Bow	ルーン・ボウ
Large Siege Bow	大攻城弓
Short Siege Bow	短攻城弓
Double Bow	ダブルボウ
Cedar Bow	シダーの弓
Razor Bow	剃刀の弓
Edge Bow	エッジ・ボウ
Rune Staff	ルーン・スタッフ
Gothic Staff	ゴシック・スタッフ
Cedar Staff	シダーのスタッフ
Quarterstaff	クォータースタッフ
Jo Staff	ジョウのスタッフ
Grim Scythe	死の大鎌
Bec-de-Corbin	ベクドコービン
Partizan	パルチザン
Battle Scythe	戦いの大鎌
Lochaber Axe	ロッホアーバー・アックス
War Fork	ウォー・フォーク
Fuscina	フシナ
War Spear	ウォー・スピア
Harpoon	ハープーン
Spiculum	スピキュラム
Simbilan	シンビラン
Great Pilum	グレートパイラム
War Javelin	ウォージャベリン
Hurlbat	ハールバット
War Dart	ウォー・ダート
Francisca	フランシスカ
Battle Dart	バトルダート
Stilleto	スティレット
Cinquedeas	チンクエデア
Rondel	ロンデル
Poignard	ポイグナード
Executioner Sword	処刑人のソード
Zweihander	ツヴァイハンダー
Tusk Sword	タスク・ソード
Dacian Falx	ダキアの鎌
Espandon	エスパンドン
Ancient Sword	古代のソード
Rune Sword	ルーンソード
Battle Sword	バトルソード
Dimensional Blade	ディメンショナル・ブレイド
Tulwar	タルワール
Shamshir	シャムシール
Cutlass	カットラス
Gladius	グラディウス
Martel de Fer	マーテル・ドゥ・フェール
War Club	ウォー・クラブ
Battle Hammer	バトルハンマー
Knout	むち
Jagged Star	鋸歯のスター
Flanged Mace	フランジド・メイス
Barbed Club	有刺クラブ
Divine Scepter	ディバイン・セプター
Holy Water Sprinkler	聖水スプリンクラー
Rune Scepter	新米のセプター
Cudgel	カジェル
Grave Wand	グレイブワンド
Tomb Wand	トゥームワンド
Petrified Wand	硬いワンド
Burnt Wand	焦げたワンド
Ancient Axe	古代のアックス
Gothic Axe	ゴシックアックス
Tabar	テイバー
